nomformation;nb_chars;coefficient_au_sud;departement_code;proportion_candidates;proportion_bien_tb
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Dijon (CREPS);6;0.4318039188341124;21;0.26035502958579881657;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Dijon (CREPS);6;0.4318039188341124;21;0.26666666666666666667;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de la Réunion (CREPS);6;8.253201775794338;974;0.27192982456140350877;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de la Réunion (CREPS);6;8.253201775794338;974;0.28571428571428571429;0.5
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Montpellier (CREPS);6;0.8618064756060708;34;0.00000000000000000000;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Montpellier (CREPS);6;0.8618064756060708;34;0.20476190476190476190;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Montpellier (CREPS);6;0.8618064756060708;34;0.20767888307155322862;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Montpellier (CREPS);6;0.8618064756060708;34;0.29729729729729729730;0.3333333333333333
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Montpellier (CREPS);6;0.8618064756060708;34;0.75000000000000000000;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Nancy (CREPS);6;0.26910024870418137;54;0.19512195121951219512;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Nancy (CREPS);6;0.26910024870418137;54;0.21938775510204081633;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Nancy (CREPS);6;0.26910024870418137;54;0.31007751937984496124;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Nantes (CREPS);6;0.4201822281105458;44;0.31578947368421052632;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Nantes (CREPS);6;0.44342560955767824;44;0.23058252427184466019;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Nantes (CREPS);6;0.44342560955767824;44;0.24742268041237113402;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Nantes (CREPS);6;0.44342560955767824;44;0.29508196721311475410;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Poitiers (CREPS);6;0.5247774446226438;86;0.20537897310513447433;0.2
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Poitiers (CREPS);6;0.5247774446226438;86;0.31746031746031746032;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Reims (CREPS);6;0.21099179508634905;51;0.14110429447852760736;0.25
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Reims (CREPS);6;0.21099179508634905;51;0.24782608695652173913;0.3333333333333333
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Reims (CREPS);6;0.21099179508634905;51;0.26865671641791044776;1
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Strasbourg (CREPS);6;0.2923436301513146;67;0.25324675324675324675;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Strasbourg (CREPS);6;0.2923436301513146;67;0.26470588235294117647;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Strasbourg (CREPS);6;0.38531715593984595;67;0.25000000000000000000;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Toulouse (CREPS);6;0.8734281663296375;31;0.20886075949367088608;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Toulouse (CREPS);6;0.8734281663296375;31;0.30000000000000000000;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Toulouse (CREPS);6;0.9431583106710364;31;0.20982142857142857143;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Wattignies (CREPS);6;0.059909815679985434;59;0.17391304347826086957;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Wattignies (CREPS);6;0.059909815679985434;59;0.21061946902654867257;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Wattignies (CREPS);6;0.059909815679985434;59;0.21682847896440129450;0.5
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive de Wattignies (CREPS);6;0.059909815679985434;59;0.25287356321839080460;0.3333333333333333
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);6;0.26910024870418137;92;0.15517241379310344828;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);6;0.26910024870418137;92;0.17647058823529411765;0.07142857142857142
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);6;0.26910024870418137;92;0.17943107221006564551;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);6;0.26910024870418137;92;0.19721577726218097448;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);6;0.26910024870418137;92;0.21296296296296296296;0.2
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive du Centre (CREPS);6;0.45504730028124485;18;0.17596566523605150215;0.16666666666666666
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive du Centre (CREPS);6;0.45504730028124485;18;0.30303030303030303030;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Aix-en-Provence (CREPS);6;0.8734281663296375;13;0.18740399385560675883;0.42857142857142855
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Aix-en-Provence (CREPS);6;0.8734281663296375;13;0.24475524475524475524;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Antibes (CREPS);6;0.8734281663296375;6;0.21158129175946547884;0.14285714285714285
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Antibes (CREPS);6;0.8734281663296375;6;0.23214285714285714286;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive PACA - site de Boulouris (CREPS);6;0.8850498570532042;83;0.21500000000000000000;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive PACA - site de Boulouris (CREPS);6;0.8850498570532042;83;0.26484018264840182648;0.5
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive PACA - site de Boulouris (CREPS);6;0.8850498570532042;83;0.32110091743119266055;0.2
BPJEPS, CREPS de Dijon - Antenne de Besançon;6;0.45504730028124485;25;0.26459143968871595331;0
BPJEPS, CREPS de Dijon - Antenne de Besançon;6;0.45504730028124485;25;0.32432432432432432432;0
BPJEPS, CREPS de Poitiers - Antenne de Limoges;6;0.6061292796876093;87;0.21065989847715736041;0.3333333333333333
BPJEPS, CREPS de Poitiers - Antenne de Limoges;6;0.6061292796876093;87;0.31958762886597938144;0
BPJEPS, CREPS d'Ile de France - Antenne de Vaires-sur-Marne;6;0.25747855798061553;77;0.15646258503401360544;0
BPJEPS, CREPS d'Ile de France - Antenne de Vaires-sur-Marne;6;0.25747855798061553;77;0.18348623853211009174;0
BPJEPS, CREPS d'Ile de France - Antenne de Vaires-sur-Marne;6;0.25747855798061553;77;0.21066666666666666667;0
BPJEPS, CREPS Pays de la Loire - Antenne de Sable sur Sarthe;6;0.3736954652162801;72;0.28294573643410852713;0
BPJEPS, CREPS Rhône-Alpes - Site de Voiron;6;0.6642377333054416;38;0.10526315789473684211;0
BPJEPS, CREPS Rhône-Alpes - Site de Voiron;6;0.6642377333054416;38;0.38000000000000000000;0
BPJEPS, CVIFS - GROUPEMENT NAUTIQUE TOULOUSAIN;6;0.8618064756060708;31;0.25000000000000000000;0
BPJEPS, CVIFS - GROUPEMENT NAUTIQUE TOULOUSAIN;6;0.8618064756060708;31;0.60000000000000000000;0
BPJEPS, Ecole Nationale de Voile et des Sports Nautiques (ENVSN);6;0.4085605373869792;56;0.19512195121951219512;0
BPJEPS, Familles Rurales Fédération de l'Aveyron;6;0.7804546405411061;12;0.68750000000000000000;0
BPJEPS, FIT UNIVERSITY;6;0.8618064756060708;31;0.13750000000000000000;0
BPJEPS, FIT UNIVERSITY;6;0.8618064756060708;31;0.16216216216216216216;0
BPJEPS, FIT UNIVERSITY;6;0.8618064756060708;31;0.24285714285714285714;0
BPJEPS, Institut Français du Cheval et de l'Equitation (IFCE);6;0.44342560955767824;49;0.81944444444444444444;0.16666666666666666
BPJEPS, Institut Martiniquais du Sport (IMS);6;4.232096785440343;972;0.23595505617977528090;0
